Organisaation nimi,Organisaation tyyppi,Kustantaja/Välittäjä,Vuosi,Hinta,Aineisto,Aineistotyyppi,Hankintatapa
Aalto-yliopisto,Yliopisto,Alma Media,2016,36363.0,Fokus Talous+Verotus; Kauppalehti; Talentum-lehtiarkisto; Verkkokirjahylly Asuminen ja ympäristöoikeus; Verkkokirjahylly Siviilioikeus,E-kirjapaketti; Hakuteos; Kokotekstiaineisto,FinELib-konsortio; Oma sopimus
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2010,4230.0,Science,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2011,5735.0,Science; Science Classic,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2012,7779.0,Science; Science Classic,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2013,8426.0,Science; Science Classic; Science Express,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2014,8657.0,Science; Science Classic; Science Express,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2015,10423.0,Science; Science Classic; Science Express,Kokotekstiaineisto,Oma sopimus
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2016,11569.0,Science,Kokotekstiaineisto,Oma sopimus
Aalto-yliopisto,Yliopisto,American Association for the Advancement of Science (AAAS),2017,11830.0,Science; Science Classic; Science Express,Kokotekstiaineisto,Oma sopimus
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2010,102213.0,American Chemical Society; SciFinderScholar,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2011,101644.0,American Chemical Society; SciFinderScholar,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2012,115432.0,American Chemical Society; SciFinderScholar,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2013,117622.0,American Chemical Society; SciFinderScholar,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2014,121798.0,American Chemical Society; SciFinderScholar,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2015,152809.0,American Chemical Society; SciFinderScholar,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2016,165550.0,ACS; SciFinder,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Chemical Society (ACS),2017,172373.0,ACS; SciFinder,Kokotekstiaineisto; Viitetietokanta,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2010,7905.0,MathSciNet,Viitetietokanta,Oma sopimus
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2011,8377.0,MathSciNet,Viitetietokanta,Oma sopimus
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2012,8344.0,MathSciNet,Viitetietokanta,Oma sopimus
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2013,8717.0,MathSciNet,Viitetietokanta,Oma sopimus
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2014,9122.0,MathSciNet,Viitetietokanta,Oma sopimus
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2015,9877.0,MathSciNet,Viitetietokanta,Oma sopimus
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2016,10612.0,MathSciNet,Hakuteos,FinELib-konsortio
Aalto-yliopisto,Yliopisto,American Mathematical Society (AMS),2017,11292.0,MathSciNet,Hakuteos,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2010,4110.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2011,4805.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2012,5389.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2013,5396.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2014,5583.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2015,6927.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2016,7484.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Annual Reviews,2017,7986.0,Annual Reviews,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Artstor,2010,880.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2011,1194.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2012,2084.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2013,2001.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2014,2116.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2015,2626.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2016,2690.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Artstor,2017,2907.0,Artstor,Muu elektroninen palvelu,Oma sopimus
Aalto-yliopisto,Yliopisto,Association for Computer Machinery (ACM),2010,4060.0,ACM Digital Library,Kokotekstiaineisto,FinELib-konsortio
Aalto-yliopisto,Yliopisto,Association for Computer Machinery (ACM),2011,3973.0,ACM Digital Library,Kokotekstiaineisto,FinELib-konsortio
