Organization name,Organization type,Publisher/Supplier,Year,Cost,Material,Resource type,Way of acquisition
Aalto University,University,American Association for the Advancement of Science (AAAS),2010,4230.0,Science,Full text materials,FinELib consortium
Aalto University,University,American Association for the Advancement of Science (AAAS),2011,5735.0,Science; Science Classic,Full text materials,FinELib consortium
Aalto University,University,American Association for the Advancement of Science (AAAS),2012,7779.0,Science; Science Classic,Full text materials,FinELib consortium
Aalto University,University,American Association for the Advancement of Science (AAAS),2013,8426.0,Science; Science Classic; Science Express,Full text materials,FinELib consortium
Aalto University,University,American Association for the Advancement of Science (AAAS),2014,8657.0,Science; Science Classic; Science Express,Full text materials,FinELib consortium
Aalto University,University,American Association for the Advancement of Science (AAAS),2015,10423.0,Science; Science Classic; Science Express,Full text materials,Separate contract
Aalto University,University,American Chemical Society (ACS),2010,102213.0,American Chemical Society; SciFinderScholar,Full text materials; Reference database,FinELib consortium
Aalto University,University,American Chemical Society (ACS),2011,101644.0,American Chemical Society; SciFinderScholar,Full text materials; Reference database,FinELib consortium
Aalto University,University,American Chemical Society (ACS),2012,115432.0,American Chemical Society; SciFinderScholar,Full text materials; Reference database,FinELib consortium
Aalto University,University,American Chemical Society (ACS),2013,117622.0,American Chemical Society; SciFinderScholar,Full text materials; Reference database,FinELib consortium
Aalto University,University,American Chemical Society (ACS),2014,121798.0,American Chemical Society; SciFinderScholar,Full text materials; Reference database,FinELib consortium
Aalto University,University,American Chemical Society (ACS),2015,152809.0,American Chemical Society; SciFinderScholar,Full text materials; Reference database,FinELib consortium
Aalto University,University,American Mathematical Society (AMS),2010,7905.0,MathSciNet,Reference database,Separate contract
Aalto University,University,American Mathematical Society (AMS),2011,8377.0,MathSciNet,Reference database,Separate contract
Aalto University,University,American Mathematical Society (AMS),2012,8344.0,MathSciNet,Reference database,Separate contract
Aalto University,University,American Mathematical Society (AMS),2013,8717.0,MathSciNet,Reference database,Separate contract
Aalto University,University,American Mathematical Society (AMS),2014,9122.0,MathSciNet,Reference database,Separate contract
Aalto University,University,American Mathematical Society (AMS),2015,9877.0,MathSciNet,Reference database,Separate contract
Aalto University,University,Annual Reviews,2010,4110.0,Annual Reviews,Full text materials,FinELib consortium
Aalto University,University,Annual Reviews,2011,4805.0,Annual Reviews,Full text materials,FinELib consortium
Aalto University,University,Annual Reviews,2012,5389.0,Annual Reviews,Full text materials,FinELib consortium
Aalto University,University,Annual Reviews,2013,5396.0,Annual Reviews,Full text materials,FinELib consortium
Aalto University,University,Annual Reviews,2014,5583.0,Annual Reviews,Full text materials,FinELib consortium
Aalto University,University,Annual Reviews,2015,6927.0,Annual Reviews,Full text materials,FinELib consortium
Aalto University,University,Artstor,2010,880.0,Artstor,Other electronic service,Separate contract
Aalto University,University,Artstor,2011,1194.0,Artstor,Other electronic service,Separate contract
Aalto University,University,Artstor,2012,2084.0,Artstor,Other electronic service,Separate contract
Aalto University,University,Artstor,2013,2001.0,Artstor,Other electronic service,Separate contract
Aalto University,University,Artstor,2014,2116.0,Artstor,Other electronic service,Separate contract
Aalto University,University,Artstor,2015,2626.0,Artstor,Other electronic service,Separate contract
Aalto University,University,Association for Computer Machinery (ACM),2010,4060.0,ACM Digital Library,Full text materials,FinELib consortium
Aalto University,University,Association for Computer Machinery (ACM),2011,3973.0,ACM Digital Library,Full text materials,FinELib consortium
Aalto University,University,Association for Computer Machinery (ACM),2012,4433.0,ACM Digital Library,Full text materials,FinELib consortium
Aalto University,University,Association for Computer Machinery (ACM),2013,4546.0,ACM Digital Library,Full text materials,FinELib consortium
Aalto University,University,Association for Computer Machinery (ACM),2014,4636.0,ACM Digital Library,Full text materials,FinELib consortium
Aalto University,University,Association for Computer Machinery (ACM),2015,5842.0,ACM Digital Library,Full text materials,FinELib consortium
Aalto University,University,Bureau van Dijk,2010,40544.0,BankScope; Orbis; Zephyr,Other electronic service,Separate contract
Aalto University,University,Bureau van Dijk,2011,49448.0,BankScope; Orbis; Zephyr,Other electronic service,Separate contract
Aalto University,University,Bureau van Dijk,2012,50550.0,BankScope; Orbis; Zephyr,Other electronic service,Separate contract
Aalto University,University,Bureau van Dijk,2013,42000.0,Orbis; Zephyr,Other electronic service,Separate contract
Aalto University,University,Bureau van Dijk,2014,52950.0,BankScope; Orbis; Zephyr,Other electronic service,Separate contract
Aalto University,University,Bureau van Dijk,2015,43750.0,Orbis; Zephyr,Other electronic service,Separate contract
Aalto University,University,Cengage Learning,2010,0.0,Eighteenth Century Collections Online,eBook package,FinELib consortium
Aalto University,University,Cengage Learning,2011,0.0,Eighteenth Century Collections Online,eBook package,FinELib consortium
Aalto University,University,Cengage Learning,2012,0.0,Eighteenth Century Collections Online,eBook package,FinELib consortium
